6,15	1,17
5,83	1,42
5,72	1,39
6,22	1,41
5,72	1,44
5,98	1,35
5,77	1,29
6,14	1,28
5,71	1,16
6,49	1,63
6,02	1,5
6,02	1,39
5,98	1,49
5,78	1,38
6,06	1,48
6,01	1,56
6,03	1,39
6,03	1,34
6,04	1,21
6,13	1,38
6,12	1,45
6,07	1,26
5,87	1,41
6,12	1,41
6,1	1,43
5,77	1,31
5,8	1,43
6,02	1,38
6,14	1,49
5,9	1,56
6,01	1,43
5,94	1,26
6,2	1,39
5,97	1,41
5,82	1,42
6,42	1,54
6,35	1,42
6,01	1,65
5,85	1,32
6,22	1,56
5,83	1,28
5,98	1,51
6	1,63
6,09	1,32
5,9	1,44
6,25	1,65
6,02	1,45
6,42	1,56
5,75	1,44
6,05	1,46
5,73	1,32
6,19	1,25
6,41	1,68
5,7	1,65
6,15	1,57
